key,count
yang,170544373
dan,142656914
di,108948725
ini,69647432
dengan,69494763
untuk,67123285
dari,53247601
dalam,44607242
pada,39596335
tidak,34642625
akan,31254809
itu,29427694
juga,29059147
bisa,27960967
ke,26302296
ada,25958860
atau,24057449
adalah,21339032
indonesia,21075360
oleh,20080279
tersebut,19349204
lebih,19318270
dapat,19014269
karena,18477189
tahun,18027014
saat,18008960
menjadi,17880350
saya,16716071
sudah,16695836
sebagai,16680574
orang,15840487
kita,15707131
lain,14768564
anda,14078697
mereka,14063057
hal,13736016
seperti,13504812
banyak,13036791
harus,12774993
telah,11314570
secara,11156909
hanya,11125172
jadi,11114606
bahwa,11065152
kami,10936382
bagi,10918771
kata,10761581
belum,10735296
laku,10664333
baru,10533183
memiliki,10445120
jika,10244519
masih,10154753
sangat,10135414
baik,9862242
rp,9844528
tak,9818912
a,9792056
masyarakat,9607610
kota,9601517
kepada,9559376
para,9527774
beberapa,9452310
dia,9294045
merupakan,9203992
satu,9145398
namun,8793986
hari,8750432
melakukan,8414070
hasil,8298397
jakarta,8261800
dua,8151251
membuat,7832446
serta,7765394
semua,7737791
tapi,7692564
wib,7473989
lagi,7412263
saja,7396522
i,7304842
hingga,7298694
harga,7295759
setelah,7243125
cara,7229584
sampai,7188266
guna,7186607
tentang,7065597
anak,7044958
sehingga,7020238
terhadap,7015670
menggunakan,7006121
lalu,7001047
apa,6907544
waktu,6837360
tempat,6822132
ia,6820790
negara,6778829
antara,6688368
mulai,6663530
besar,6655593
s,6616122
agar,6606953
kabupaten,6417451
pemerintah,6323126
kalau,6318826
kamu,6233341
memberikan,6200088
melalui,6167714
salah satu,6120622
maka,6046819
bukan,6017116
perlu,6001192
terjadi,5973344
kali,5885577
data,5879826
dunia,5870839
sebuah,5846555
ingin,5845139
program,5783080
tim,5759473
buat,5723169
sama,5676528
pun,5666671
kegiatan,5664380
daerah,5611668
tetap,5607967
rumah,5513087
sendiri,5447453
setiap,5439825
mengatakan,5434072
langsung,5412983
diri,5402261
pertama,5380673
jalan,5370006
yaitu,5334006
kembali,5332954
nilai,5305962
berbagai,5282255
id,5262298
perusahaan,5242689
tiga,5219542
produk,5185494
proses,5126144
pihak,5121191
ketika,5110513
informasi,5108384
ya,5086050
x,5061851
atas,5024029
foto,5011685
memang,4948295
cukup,4902967
yg,4870153
tahu,4846518
bersama,4835919
warga,4827480
selama,4791736
bagian,4787260
m,4751089
menurut,4750810
to,4732138
kesehatan,4726315
sistem,4694107
baca,4693645
nama,4662775
masuk,4635225
masalah,4605956
mungkin,4575144
b,4564615
t,4533222
desa,4505976
bulan,4455641
tinggi,4443329
jumlah,4401842
paling,4389778
kerja,4378001
sekitar,4352989
jelas,4333805
terus,4275794
kemudian,4267094
d,4258171
seorang,4243420
tentu,4238909
